Frequency_Hz,Amplitude_d1,Phase_rad_d1,Amplitude_d2,Phase_rad_d2,Amplitude_d3,Phase_rad_d3
188720.5342235987,1.368131277066318e-05,-0.13482877223495182,1.4027600506389958e-05,-0.1517626332810913,5.086504959782346e-07,1.5707532622995652
188721.53589327922,1.3767615727376222e-05,-0.4869008286348429,1.6118050720154165e-05,0.4848172196062611,3.8733203222218895e-07,-0.8610551175485658
188722.53756295977,1.4452566325135308e-05,-0.7551166540572487,1.8705739278758465e-05,0.5450164954590854,1.9699757621206764e-07,0.8968715138445689
188723.53923189422,1.2197134654359823e-05,-1.2166146686084671,1.6175101343264652e-05,1.4022562453800047,4.1847382446948486e-07,-0.8462165944107267
188724.54090157474,6.7590780233087204e-06,-0.6887234689441952,6.925928534725272e-06,1.3776644098571873,1.3197297451297596e-07,-0.39166274400876466
188725.5425712553,1.261950292423141e-05,-0.8880642467621814,1.8059358216152637e-05,1.020205829154272,1.931973731359925e-07,-1.2959200172892906
188726.54424018975,1.4538789821107324e-05,-1.0195695022726419,1.5960676362011598e-05,0.7148036679902172,3.4546033875587233e-07,0.47913971539812306
188727.5459098703,1.78265501375145e-05,-1.3020551428727511,2.4993025471278728e-05,1.1591282895033805,1.8953852757630917e-07,-0.5548157180870272
188728.54757955082,1.567352447497403e-05,-0.812014411132445,2.303115968783228e-05,0.8609139547526211,5.244597563422323e-07,-0.9135234010046919
188729.54924848527,1.3527843371744274e-05,-1.1442170577890036,1.944560156197529e-05,1.0255401112766624,9.710241061937728e-08,0.07010780465776965
188730.55091816583,1.4785710412899761e-05,-1.6651372424150945,1.662649043453119e-05,1.4790708072050311,4.261924723624786e-07,0.08313728587941888
188731.55258784635,1.5645702747616836e-05,-0.5077857433977994,1.9284068811401544e-05,0.45075816760072535,2.2181343513669607e-07,0.718941223393747
188732.55425678083,1.96657257949049e-05,-1.3504026665220492,2.1198620710106763e-05,1.2919171087069516,7.955244845805623e-07,-0.07069924795044132
188733.55592646135,1.538732920056293e-05,-0.7357884310180952,1.9207514876895823e-05,0.7415658792453519,1.4111824688540825e-07,2.147595480219535
188734.55759614188,1.1257085667060521e-05,-1.034183650170958,1.5154677311997648e-05,0.9110354055845317,4.2735733830428744e-07,0.26079716698871125
188735.55926507636,7.217968127168978e-06,-0.3517835358742953,8.28501720329038e-06,0.22986471885724796,1.065667156012076e-06,1.3104108226175273
188736.56093475688,7.233622163186339e-06,-1.7287597121691587,8.395986550571494e-06,1.424921657797015,2.984730773795414e-07,0.6630361427369477
188737.5626044374,7.804946313261367e-06,-1.8456130879328074,5.908341189732346e-06,1.1256755806417873,1.311725774320519e-07,0.23879409385344175
188738.56427411796,1.9303450486491478e-05,-1.4570609600997484,2.305592398151486e-05,1.423036165901146,5.54201902103151e-07,-0.6245038625111532
188739.5659430524,9.492215993153703e-06,-1.128037830466533,1.3687430671070368e-05,1.3386182862582028,3.632035717516405e-07,-2.541697932385688
188740.56761273294,7.099188374867085e-06,-0.6223592981682403,9.855695481591916e-06,0.7946629069008916,5.466647075973865e-07,-0.3689793689781583
188741.5692824135,1.5384900613951834e-05,-1.2645804135046859,1.8813223761219593e-05,1.1808653620314733,3.0723593062827144e-07,-0.6990071275176661
188742.57095134794,1.0275511599366116e-05,-0.6228164619696578,1.336098989529621e-05,0.6956421031163863,2.6368517183065123e-07,-0.7956283893414005
188743.57262102846,2.0949188925211062e-05,-0.5070105952353182,2.733054876569866e-05,0.4084556073917632,6.11930125290257e-07,0.8558538376628403
188744.57429070902,9.830006796307651e-06,-1.3547820870817096,1.145936042357528e-05,1.241022055683215,5.113675659119666e-07,0.08404080318119114
188745.57595964347,1.0689762803805522e-05,-1.7773915172531474,1.2500259313078777e-05,1.6747115488839106,2.670410985324694e-07,0.0015136041493540278
188746.57762932402,1.765689270021213e-05,-0.9019922899612498,2.3390728995267948e-05,0.7007688878999916,5.34196431809008e-07,0.882400064725858
188747.57929900454,1.302771514744377e-05,-1.0482907387393863,1.947411916282319e-05,0.8157997874560143,6.774113561819055e-07,2.580521659115143
188748.580967939,1.1799506176167973e-05,-0.3361864878332237,1.3354657758807397e-05,0.4060159227030435,1.6722702395716658e-07,-2.453346578641938
188749.58263761955,1.4183772961068574e-05,-1.0516744507806073,1.909587630663873e-05,0.9183359175146673,1.0407624779310636e-07,-1.4061897053824037
188750.58430730007,1.596465977105129e-05,-0.802605889956752,1.8256704461261754e-05,0.7782553355990341,4.137555868352794e-07,-0.4371689010854634
188751.5859769806,1.4316440295989734e-05,-0.9327039058463813,1.52901094882074e-05,0.8349445460745004,3.9663275909691987e-07,-0.6525614059619976
188752.58764591507,1.573209547008261e-05,-1.049572187448592,2.126985237428302e-05,1.0767183224719812,1.733099717754263e-07,1.992633823214807
188753.5893155956,1.392462492091542e-05,-1.11598551541039,1.7716016416320344e-05,1.1197025355294052,7.429370723757761e-07,0.26131731897002897
188754.59098527613,1.252450740201175e-05,-0.7462629722216028,1.9957808699019997e-05,0.7323097441440729,3.1001127285214465e-07,0.5832747896015408
188755.5926542106,1.709496400168753e-05,-1.422577474203153,2.1889392832569344e-05,1.5859711208882572,5.510771146965113e-07,-0.0261525338235456
188756.59432389113,9.451823705215767e-06,-1.699622790230845,1.217194935154267e-05,2.1084267386975846,3.491146231049238e-07,0.2832135607691549
188757.59599357168,1.600590014851541e-05,-1.0619816077675723,1.513142319989977e-05,1.0620012167657555,3.527698256836627e-07,-1.3353532249130446
188758.59766250613,1.2898073537363098e-05,-1.1156066549287607,9.74646384900369e-06,0.8299102261595308,3.537348789011111e-07,1.4365788777465942
188759.59933218666,1.1304175072650959e-05,-1.7277426292115785,1.4400768136032213e-05,2.02092762009902,4.390995387761023e-07,1.2396016813014132
188760.6010018672,2.2269863315037073e-05,-0.4887328576724596,2.9514741952176532e-05,0.3161491696636741,3.84817448981287e-07,0.27905188607436404
188761.60267080166,5.3277215657062646e-06,-1.6129235629189147,4.873905194893895e-06,1.584644524468161,4.790124982583587e-07,-0.8380833337937608
188762.6043404822,9.021067798965378e-06,-1.3630516640265218,1.0502496224937396e-05,1.181212462399209,6.0711999022667e-07,0.6007666444223564
188763.60601016274,1.0474830108033464e-05,-0.7869611086340011,7.245954700001849e-06,0.8096966807408934,7.259069466950838e-07,1.8859485518734098
188764.6076790972,1.1692148033328003e-05,-0.624119817794331,1.4064219763224572e-05,0.5117511735481017,7.719520884564058e-07,0.23999016147450558
188765.60934877774,2.0560024249964758e-05,-1.4997513288841404,2.3975422897914424e-05,1.5442198328685468,2.051773387090788e-07,0.8166338908920613
188766.61101845826,1.1222013645862737e-05,-0.8128440087744185,1.633134478468611e-05,0.7454233956058259,5.458490481006255e-07,-0.40345504606321814
188767.6126881388,1.3010115713057614e-05,-0.5847992190653569,1.673889945892314e-05,0.5249036909043256,5.158404318920859e-07,-0.21695417047799273
188768.61435707327,1.568470146342135e-05,-1.0738335589220696,1.8129979603030975e-05,0.9741446125086936,9.046112466022182e-07,0.3800393507468289
188769.6160267538,1.5317164628104835e-05,-1.532349577423765,1.9154630447099602e-05,1.690648396656,4.0348631895814435e-07,-1.0312651502171342
188770.61769643432,1.0458394793556137e-05,-0.7149426423333115,1.6043855632203946e-05,0.6678509888315421,1.7311626393854782e-07,0.27498038290536764
188771.6193653688,6.311263934440625e-06,-0.6667833300716497,9.196513121710437e-06,0.7427795495409425,4.441071171226171e-07,0.4893232912396133
188772.62103504932,1.3658724273167273e-05,-1.0328855542879183,1.3829512806774286e-05,0.9533231401956634,2.0089402008285607e-07,-0.4777905615801363
188773.62270472985,1.5018089958142756e-05,-0.6447160807072904,1.9659806094636353e-05,0.5672694188049969,7.228652404458269e-07,-0.5504479304017559
188774.62437366432,1.1544761247679064e-05,-1.512632988843784,1.2555739098824648e-05,1.547588787989865,2.383971904130458e-07,1.0618720078222197
188775.62604334485,1.0421781113081679e-05,-0.6804531681832945,1.1959957158306737e-05,0.2098177838029074,8.689449676061775e-07,0.8202662568199206
188776.6277130254,1.5509036245391813e-05,-1.0689940150393777,1.8734913278212754e-05,1.0470660900327635,2.783874161148505e-07,0.3999341808522579
188777.62938195985,1.0367069472248454e-05,-0.41970950075761276,1.4719030718077612e-05,0.2901399707971079,5.569048049956942e-07,0.28909180429613385
188778.63105164038,9.609020554854436e-06,-1.6014976728757644,1.0503279931277227e-05,1.4576303788962794,6.496894668176502e-07,-0.34926617600433174
188779.63272132093,1.3741734961181566e-05,-1.0024060768754033,1.48639571121339e-05,0.9445693596563349,1.262704079730761e-07,0.06059171273858992
188780.63439100145,1.4098519834428657e-05,-1.1538435969300556,1.543996486654876e-05,1.2488788211679107,5.513693609730211e-07,0.7372624858953062
188781.63605993593,9.923947958859308e-06,-1.136528310491469,8.957051912176952e-06,1.2715130129156345,7.621247211989046e-07,0.0761899725398571
188782.63772961646,1.1965880275905e-05,-1.9320636281350678,1.6786926537612067e-05,2.107097202885259,5.800953130318026e-07,0.3312760161303435
188783.63939929698,1.629830533295449e-05,-1.3126916633598336,2.1222525052066824e-05,1.2973286202926093,7.341470038530307e-07,-0.5932922601091227
188784.64106823146,1.6360473021724453e-05,-0.4684857225519744,2.053490122197526e-05,0.42629311901355993,4.998581903277393e-07,0.705672779462124
