Frequency_Hz,Amplitude_d1,Phase_rad_d1
60844.809329561984,3.431324532092755e-05,-0.36253597000645144
60850.758775194925,3.485168095843268e-05,-0.38848009880982326
60856.70880256872,3.424391764541331e-05,-0.3722226343443726
60862.65941174012,3.351038563953418e-05,-0.3725385061312645
60868.610602766006,3.441685493569244e-05,-0.3827811257199271
60874.56237570329,3.450502357640657e-05,-0.37100416498196226
60880.514730608855,3.4538995064294085e-05,-0.35458886335159445
60886.46766753961,3.42599485648742e-05,-0.381635049351616
60892.42118655248,3.419098808822147e-05,-0.36682166083209955
60898.375287704366,3.444756652291263e-05,-0.364722434464361
60904.32997105219,3.4643861382213455e-05,-0.38079190356779075
60910.28523665289,3.4535234712714136e-05,-0.3735862199777443
60916.241084563386,3.478851248596458e-05,-0.35487532278399125
60922.1975148405,3.449478934799483e-05,-0.3504811368875826
60928.15452754143,3.40097279491303e-05,-0.3685849916743468
60934.11212272299,3.4566636670348895e-05,-0.3763174542577139
60940.070300442145,3.344109244098735e-05,-0.3661761505647625
60946.02906075585,3.4603070315495865e-05,-0.38020022794141584
60951.98840372107,3.414738710312325e-05,-0.36613176280602977
60957.948329394785,3.443429900664821e-05,-0.3880746195286596
60963.908837833966,3.3708851932093484e-05,-0.3832222675687058
60969.86992909559,3.563150332922707e-05,-0.3849551378835577
60975.831603236664,3.406317127005692e-05,-0.38611925247974055
60981.793860314174,3.39723047661113e-05,-0.3758081130826266
60987.75670038511,3.3824553935535645e-05,-0.36858178790398044
60993.72012350649,3.395757603249117e-05,-0.3536050882998489
60999.68412973519,3.482296592198238e-05,-0.3719895863062398
61005.64871912849,3.3813796825778946e-05,-0.3902800380514247
61011.613891743276,3.402138292504685e-05,-0.36487204793855765
61017.57964763658,3.3431303814368546e-05,-0.3878030194161887
61023.545986865436,3.469574025995218e-05,-0.3715971283126652
61029.512909486875,3.402092014972833e-05,-0.3509288149719908
61035.480415557955,3.458666094049498e-05,-0.37102658716598125
61041.44850513571,3.3995694953875475e-05,-0.3798486321834495
61047.41717827722,3.461995870992896e-05,-0.366338170772865
61053.386435039516,3.45272132397783e-05,-0.37720274025966316
61059.35627547969,3.443421504030664e-05,-0.3653843455895839
61065.3266996548,3.4561211226685106e-05,-0.36640785079122273
61071.2977076218,3.372772635237515e-05,-0.4173645403663995
61077.26929943803,3.4856094867182475e-05,-0.3790886312317576
61083.24147516045,3.410448721188868e-05,-0.3707890408660276
61089.21423484616,3.460537055932914e-05,-0.38028289442054963
61095.18757855225,3.480773540370791e-05,-0.3832917096026807
61101.16150633583,3.456479465295993e-05,-0.39893387527015656
61107.13601825402,3.4099143508414665e-05,-0.37986074034023126
61113.11111436393,3.4750726886301324e-05,-0.3845281506145666
61119.08679472268,3.421744073755244e-05,-0.3866593917999601
61125.0630593874,3.450239538986739e-05,-0.37247571002187263
61131.03990841523,3.5112860158824706e-05,-0.3734941763779958
61137.017341863306,3.5042753610040394e-05,-0.3785496041343282
61142.995359788765,3.5103575064768603e-05,-0.39121350653769693
61148.973962248645,3.401973042119265e-05,-0.35384204636422634
61154.95314930034,3.488408523349304e-05,-0.3765301424875891
61160.932921000895,3.454805014034928e-05,-0.36153921899282065
61166.91327740748,3.506033995166436e-05,-0.355989004292543
61172.89421857726,3.5001332673420955e-05,-0.36924453770132093
61178.87574456741,3.4037584839055154e-05,-0.35941651551418835
61184.85785543513,3.366655409283893e-05,-0.3593258404650812
61190.840551237605,3.3652767922288186e-05,-0.3558922422754225
61196.823832032016,3.397293571627191e-05,-0.3808664354664544
61202.80769787558,3.55234790358743e-05,-0.3668003105386957
61208.792148825494,3.4562841377506755e-05,-0.36058659936462745
61214.777184938976,3.508506022593286e-05,-0.38812874455558677
61220.76280627312,3.344426128741423e-05,-0.3593027028182224
61226.74901288538,3.5223719895532046e-05,-0.37225917162780736
61232.73580483289,3.414852264373543e-05,-0.36897896610556136
61238.723182172864,3.584817353487974e-05,-0.3670584211479493
61244.71114496255,3.418673815635626e-05,-0.3753430303656324
61250.699693259194,3.460669204705239e-05,-0.38503475254187436
61256.68882712004,3.526906804862179e-05,-0.3656420423161127
61262.67854660235,3.478549033627013e-05,-0.37738024206792153
61268.66885176339,3.3785256758118736e-05,-0.3542585004405318
61274.65974266042,3.4151753859755225e-05,-0.3939665537680393
61280.651219350715,3.4794000900413566e-05,-0.36930609129976266
61286.643281891564,3.471760427260945e-05,-0.3854975008122247
61292.63593034024,3.51523512594209e-05,-0.38282389524867527
61298.62916475392,3.493172197820262e-05,-0.3788455342539286
61304.62298519014,3.416599143099835e-05,-0.3644818173415861
61310.61739170607,3.4373376429245906e-05,-0.39770640807163643
61316.61238435904,3.449115913751901e-05,-0.38687647987562856
61322.60796320635,3.565315811339733e-05,-0.36341154536159936
61328.60412830531,3.4842767175367615e-05,-0.3737831660933673
61334.60087971326,3.536224365299536e-05,-0.35567155534728506
61340.598217487524,3.466225563892541e-05,-0.36693314242787706
61346.59614168543,3.4458969252955926e-05,-0.38795623871771545
61352.59465236433,3.47220559905986e-05,-0.3712087074244764
61358.59374958156,3.4307650251620434e-05,-0.35277727527386454
61364.593433394475,3.469716173627459e-05,-0.3743145019328846
61370.593703860315,3.504407405072795e-05,-0.3880524634296555
61376.59456103669,3.460192884690108e-05,-0.37188607180726413
61382.596004980835,3.4447960289307644e-05,-0.3563451260811671
61388.59803575014,3.543611146077544e-05,-0.37385934554513656
61394.60065340197,3.536622583531068e-05,-0.35771439517873177
61400.60385799372,3.509401287171947e-05,-0.37435462956054716
61406.60764958278,3.498932334316006e-05,-0.3838477768887815
61412.61202822655,3.461707139372314e-05,-0.40034515589049025
61418.616993982425,3.460580113491036e-05,-0.3812705807717761
61424.62254690781,3.4617362457256806e-05,-0.3701431438615336
61430.62868706013,3.4731474615921336e-05,-0.4169592391939029
61436.635414496806,3.528114640897427e-05,-0.3299103834904793
61442.64272927525,3.466491840611052e-05,-0.3731803458825791
61448.65063145278,3.431586828176255e-05,-0.36966751399643816
61454.659121087076,3.49444521394398e-05,-0.388018650270466
61460.66819823545,3.447060947735532e-05,-0.3544854875377367
61466.67786295536,3.481067492218123e-05,-0.3662486027678542
61472.688115304256,3.5136740473589166e-05,-0.3822099747484764
61478.69895533959,3.47220950568272e-05,-0.3694895709068531
61484.710383118836,3.475809979742498e-05,-0.37087288179584327
61490.722398699465,3.4795932117682534e-05,-0.37543603290445393
61496.735002138936,3.508687312778514e-05,-0.3811675430625768
61502.74819349475,3.5302260268303954e-05,-0.36640756183184636
61508.76197282438,3.426935776324123e-05,-0.3870200878106319
61514.77634018533,3.483595253886771e-05,-0.3669914228165868
61520.79129563496,3.574493095220731e-05,-0.3733549789202942
61526.80683923104,3.514402097763223e-05,-0.34114013541272614
61532.82297103093,3.47164159751552e-05,-0.34391237446194123
61538.83969109217,3.567917206641506e-05,-0.37694662520717553
61544.85699947227,3.510379114823606e-05,-0.39867440938132065
61550.87489622876,3.507516045382885e-05,-0.38011831891249176
61556.89338141916,3.522302757942714e-05,-0.39116684149475656
61562.912455101025,3.4481067995213346e-05,-0.4107276976501281
61568.93211733188,3.501985790586475e-05,-0.3532692885211365
61574.95236816929,3.570041527880169e-05,-0.39512651423913536
61580.9732076708,3.4848190979296304e-05,-0.3863871148569153
61586.99463589397,3.5579907978553874e-05,-0.37928021746823226
61593.01665289637,3.548080708460699e-05,-0.4041152125685838
61599.03925873544,3.5116289174381286e-05,-0.3656082826389325
61605.062453469014,3.533591041478373e-05,-0.39720133069478
61611.08623715455,3.580397281002429e-05,-0.3428821427785878
61617.11060984963,3.6106339242342506e-05,-0.3676566124886068
61623.13557161185,3.510787236774173e-05,-0.36199696412457255
61629.16112249881,3.4791405445293515e-05,-0.37620627416147495
61635.187262568106,3.576800486893655e-05,-0.3534737988999001
61641.21399187737,3.5188461553608913e-05,-0.3704633017692184
61647.2413104842,3.577579723403288e-05,-0.3656123255242485
61653.26921844622,3.528381559230255e-05,-0.39000232783738004
61659.29771582106,3.645205118007793e-05,-0.37882273225399365
61665.32680266636,3.6394355391365355e-05,-0.3468842672725357
61671.35647903963,3.614827778672513e-05,-0.40819044493518664
61677.38674499875,3.661158752580745e-05,-0.3958449492048768
61683.41760060127,3.578939121756501e-05,-0.36352718950571883
